id,first_name,last_name,gender,birthday,reg_date,city,district,street,building,apartment
38,Ульяна,Миронова,Female,1982-06-26,"2025-12-22 19:20:23","Нижний Новгород",NULL,"пр. Славянский",79,13
39,София,Копылова,Male,2004-10-09,"2025-12-23 18:32:18","Нижний Новгород",NULL,"наб. Лазурная",127,15
40,Нонна,Ильина,Female,2002-02-11,"2025-12-24 05:25:41","Нижний Новгород",NULL,"алл. Демьяна Бедного",44,NULL
41,Нонна,Гуляева,Female,2003-02-11,"2025-12-23 10:41:05","Нижний Новгород",NULL,"алл. Дорожная",116,NULL
42,Людмила,Константинова,Female,1996-06-24,"2025-12-23 15:20:26","Нижний Новгород",NULL,"ш. Матросова",32,22
43,Прасковья,Шарова,Female,2005-07-04,"2025-12-24 04:11:26","Нижний Новгород",NULL,"ш. 60 лет СССР",164,28
44,Раиса,Андреева,Male,2007-09-30,"2025-12-22 16:56:43","Нижний Новгород",NULL,"бул. Пушкинский",13,NULL
45,Нина,Логинова,Female,1976-10-16,"2025-12-24 10:48:44","Нижний Новгород",NULL,"бул. Жукова",181,63
46,Фаина,Архипова,Female,1985-05-27,"2025-12-23 19:07:08","Нижний Новгород",NULL,"пер. Вокзальный",47,83
47,Татьяна,Евдокимова,Female,1978-11-28,"2025-12-23 17:42:06","Нижний Новгород",NULL,"бул. Войкова",53,51
48,Синклитикия,Егорова,Male,1990-10-12,"2025-12-23 21:08:05","Нижний Новгород",NULL,"ш. Заводское",6,95
49,Эмилия,Овчинникова,Female,2001-09-04,"2025-12-24 06:10:30","Нижний Новгород",NULL,"ул. Медицинская",26,NULL
50,Александра,Ситникова,Male,1997-01-12,"2025-12-24 12:39:45","Нижний Новгород",NULL,"пр. Высокий",57,32
51,Акулина,Лазарева,Male,1970-03-28,"2025-12-22 22:10:25","Нижний Новгород",NULL,"пр. Загородный",58,42
52,Пелагея,Андреева,Male,1965-06-19,"2025-12-23 23:19:24","Нижний Новгород",NULL,"алл. Овражная",112,NULL
53,Тамара,Рябова,Female,1993-08-24,"2025-12-23 16:05:14","Нижний Новгород",NULL,"ш. Семашко",22,NULL
54,Надежда,Шилова,Male,1991-05-27,"2025-12-23 12:43:54","Нижний Новгород",NULL,"ш. Севастопольское",182,89
55,Раиса,Миронова,Male,1994-07-07,"2025-12-24 12:05:08","Нижний Новгород",NULL,"ш. Володарского",163,NULL
56,Агафья,Полякова,Male,1961-07-18,"2025-12-24 16:12:36","Нижний Новгород",NULL,"алл. Серафимовича",89,94
57,Вероника,Игнатова,Male,1972-05-24,"2025-12-24 02:08:12","Нижний Новгород",NULL,"бул. Рылеева",120,63
58,Татьяна,Осипова,Female,1998-12-27,"2025-12-23 17:45:17","Нижний Новгород",NULL,"пер. Раздольный",122,100
59,Светлана,Сазонова,Female,1986-08-12,"2025-12-24 02:08:13","Нижний Новгород",NULL,"пр. Кузнецова",38,NULL
60,Евгения,Щербакова,Female,1990-01-08,"2025-12-24 11:16:25","Нижний Новгород",NULL,"ш. Широкое",105,NULL
